prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.10152482986450195,0.9681704044342041,5203,1,1746003129.6703186,1746003130.7400146
76.0,20.0,0.12336921691894531,1.153527021408081,5204,1,1746003133.4904344,1746003134.767332
76.0,20.0,0.12018752098083496,1.0689060688018799,5205,1,1746003137.3139067,1746003138.503001
76.0,20.0,0.11701154708862305,1.0011210441589355,5206,1,1746003141.039835,1746003142.1579692
76.0,20.0,0.16394901275634766,1.4256095886230469,5207,1,1746003144.8661246,1746003146.455685
76.0,20.0,0.18379950523376465,1.3322796821594238,5208,1,1746003148.6889088,1746003150.2049887
76.0,20.0,0.09947967529296875,1.025862693786621,5209,1,1746003152.5094714,1746003153.6348152
76.0,20.0,0.13349270820617676,1.482879877090454,5210,1,1746003156.5059705,1746003158.1223445
76.0,20.0,0.0885002613067627,1.0258054733276367,5211,1,1746003160.039892,1746003161.1541991
76.0,20.0,0.1295628547668457,1.4672019481658936,5212,1,1746003163.8637984,1746003165.4605649
76.0,20.0,0.108734130859375,0.9905786514282227,5213,1,1746003167.6949553,1746003168.794269
76.0,20.0,0.11797451972961426,1.3884246349334717,5214,1,1746003171.5158,1746003173.0222
76.0,20.0,0.12572836875915527,1.3894233703613281,5215,1,1746003175.2402718,1746003176.7554255
76.0,20.0,0.11395144462585449,1.028095006942749,5216,1,1746003179.061163,1746003180.2032108
76.0,20.0,0.15254783630371094,1.4836938381195068,5217,1,1746003182.8884423,1746003184.5246851
76.0,20.0,0.12740874290466309,1.017237663269043,5218,1,1746003187.2768328,1746003188.4214804
76.0,20.0,0.12070012092590332,1.1494500637054443,5219,1,1746003126.4558823,1746003127.7260334
125.0,20.0,0.1416149139404297,1.3701303005218506,5219,2,1746003190.5009305,1746003192.0126774
76.0,20.0,0.1117701530456543,1.1631948947906494,5220,1,1746003130.273173,1746003131.5481396
125.0,20.0,0.1310884952545166,1.3255465030670166,5220,2,1746003194.3196287,1746003195.7762647
76.0,20.0,0.11353278160095215,0.9506535530090332,5221,1,1746003134.0930338,1746003135.1572213
125.0,20.0,0.12114691734313965,1.0360608100891113,5221,2,1746003198.143008,1746003199.300217
76.0,20.0,0.10879206657409668,1.2107152938842773,5222,1,1746003137.9182513,1746003139.2377605
125.0,20.0,0.11986017227172852,1.3147950172424316,5222,2,1746003201.9681423,1746003203.4027991
76.0,20.0,0.09882760047912598,0.9955530166625977,5223,1,1746003141.6432626,1746003142.737645
125.0,20.0,0.13840532302856445,1.4514038562774658,5223,2,1746003205.688488,1746003207.278298
76.0,20.0,0.09938621520996094,1.384800672531128,5224,1,1746003145.4693232,1746003146.953511
125.0,20.0,0.09763193130493164,1.0085806846618652,5224,2,1746003209.5094035,1746003210.6156173
76.0,20.0,0.11022257804870605,1.3986618518829346,5225,1,1746003149.2924526,1746003150.8013382
125.0,20.0,0.1109170913696289,1.285527229309082,5225,2,1746003213.3368015,1746003214.7332468
76.0,20.0,0.10211467742919922,0.9946320056915283,5226,1,1746003153.1121275,1746003154.2088752
125.0,20.0,0.10095500946044922,1.3835625648498535,5226,2,1746003217.1599078,1746003218.6444273
76.0,20.0,0.10882306098937988,1.4767634868621826,5227,1,1746003156.9139996,1746003158.4995878
125.0,20.0,0.14322638511657715,1.446861982345581,5227,2,1746003220.9655027,1746003222.5555918
76.0,20.0,0.1700763702392578,1.425429344177246,5228,1,1746003160.642321,1746003162.237828
