prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.4175834655761719,22.369806051254272,1745996776.0794554,1745996798.8668463
543,332,0.23759102821350098,26.385608196258545,1745996776.9888883,1745996803.612089
550,286,0.2696573734283447,22.123427152633667,1745996777.8976276,1745996800.2907138
499,270,0.22134947776794434,20.80015778541565,1745996778.8067539,1745996799.8282619
1341,240,0.5386838912963867,20.85437536239624,1745996779.7165334,1745996801.1095939
765,125,0.4890785217285156,10.223431587219238,1745996780.625519,1745996791.3380308
981,181,0.42059874534606934,15.44562816619873,1745996781.5339787,1745996797.4002068
968,244,0.8008291721343994,19.630184650421143,1745996782.4438534,1745996802.8748684
673,51,0.3371448516845703,3.62473726272583,1745996783.352052,1745996787.3139381
311,475,0.17534804344177246,39.269996643066406,1745996784.2618213,1745996823.7071674
1209,77,0.45272159576416016,6.0424644947052,1745996785.1709676,1745996791.666155
341,142,0.22536373138427734,11.797195434570312,1745996786.0797725,1745996798.1023326
517,250,0.25789737701416016,22.05353045463562,1745996786.9890404,1745996809.3004694
477,262,0.2734386920928955,23.79893660545349,1745996787.8980021,1745996811.9703784
1056,162,0.460205078125,12.81203556060791,1745996788.8068414,1745996802.079083
222,310,0.14543700218200684,23.96212410926819,1745996789.7156713,1745996813.823234
708,108,0.5921075344085693,8.427274942398071,1745996790.6255958,1745996799.6449792
763,137,0.6519920825958252,10.684638977050781,1745996791.5344486,1745996802.871081
818,460,0.3396718502044678,33.8338086605072,1745996792.4430745,1745996826.6165564
875,247,0.3606700897216797,18.22242569923401,1745996793.3521185,1745996811.9352174
348,42,0.18646001815795898,3.4356682300567627,1745996794.2620902,1745996797.88422
190,130,0.1775658130645752,11.27881121635437,1745996795.170248,1745996806.6266263
1071,297,0.4572465419769287,24.886937618255615,1745996796.0824091,1745996821.426595
1184,327,0.533527135848999,23.605526208877563,1745996796.9886599,1745996821.1277144
377,30,0.20254302024841309,2.5805842876434326,1745996797.89772,1745996800.6808484
924,222,0.38265037536621094,18.8019437789917,1745996798.8098867,1745996817.9944823
826,173,0.349445104598999,12.03527545928955,1745996799.7161155,1745996812.1008368
696,158,0.33396267890930176,10.700297594070435,1745996800.6249535,1745996811.6592157
717,276,0.29532504081726074,19.01821732521057,1745996801.5346801,1745996820.8482234
507,246,0.25891995429992676,20.694677114486694,1745996802.4468129,1745996823.4004111
816,321,0.9449589252471924,25.124956846237183,1745996803.3526175,1745996829.4225342
351,134,0.78896164894104,8.881302118301392,1745996804.2617245,1745996813.931989
340,84,0.20547914505004883,8.202626466751099,1745996805.1724925,1745996813.5805986
593,231,0.30341649055480957,18.544184923171997,1745996806.0797327,1745996824.927336
982,186,0.3807182312011719,15.35586953163147,1745996806.9892058,1745996822.7257948
1214,416,0.5040206909179688,30.45579957962036,1745996807.8975136,1745996838.8573353
899,434,0.4894411563873291,30.829392671585083,1745996808.8071692,1745996840.1260042
450,272,0.27704310417175293,20.44546866416931,1745996809.7161553,1745996830.4386683
535,250,0.24114274978637695,17.54196071624756,1745996810.625253,1745996828.4083574
898,250,0.3679218292236328,17.705373287200928,1745996811.5347633,1745996829.6080594
633,120,0.2699565887451172,8.41158390045166,1745996812.443443,1745996821.1249845
686,101,0.2981140613555908,7.090823173522949,1745996813.352872,1745996820.741811
1000,146,0.4455125331878662,10.274528503417969,1745996814.2626138,1745996824.982656
487,9,0.2566659450531006,1.2218730449676514,1745996815.1705832,1745996816.6491237
782,253,0.38193655014038086,17.767932891845703,1745996816.0796368,1745996834.2295077
