prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.30693984031677246,16.2994065284729,1745995101.1318426,1745995117.7381907
543,332,0.2554759979248047,19.964426040649414,1745995102.5607736,1745995122.7806773
550,286,0.25345849990844727,16.528509616851807,1745995103.9890065,1745995120.7709758
499,270,0.25919008255004883,15.472393035888672,1745995105.4181929,1745995121.149777
1341,240,0.5118987560272217,14.632485628128052,1745995106.8458486,1745995121.9902344
765,125,0.440079927444458,7.6630871295928955,1745995108.2749264,1745995116.3780956
981,181,0.3752326965332031,10.42578649520874,1745995109.703772,1745995120.504792
968,244,0.37337660789489746,14.877110719680786,1745995111.1315522,1745995126.382041
673,51,0.3630208969116211,2.7996022701263428,1745995112.560636,1745995115.7232618
311,475,0.21515941619873047,28.287591695785522,1745995113.9887588,1745995142.4915113
1209,77,0.5782368183135986,4.254857778549194,1745995115.417932,1745995120.251028
341,134,0.20442485809326172,7.989267826080322,1745995116.8464487,1745995125.0401433
517,250,0.24108052253723145,14.793781757354736,1745995118.2747965,1745995133.309661
477,262,0.2613227367401123,15.641690731048584,1745995119.703815,1745995135.6068304
1056,162,0.45317912101745605,9.264477729797363,1745995121.132231,1745995130.849889
222,310,0.17313313484191895,17.892090559005737,1745995122.5603702,1745995140.6255953
708,108,0.29167819023132324,7.3177807331085205,1745995123.9890494,1745995131.5985103
763,137,0.3222074508666992,9.369435548782349,1745995125.417483,1745995135.1091278
818,460,0.374744176864624,27.869094610214233,1745995126.8460786,1745995155.0899184
875,247,0.3851492404937744,15.243747472763062,1745995128.2745523,1745995143.9034503
348,40,0.19958257675170898,2.4029715061187744,1745995129.703336,1745995132.3058915
190,130,0.13261175155639648,7.925720930099487,1745995131.1315837,1745995139.1899178
1071,297,0.4130568504333496,17.251209259033203,1745995132.560979,1745995150.2252462
1184,327,0.4690098762512207,18.970723628997803,1745995133.9889061,1745995153.428641
377,30,0.1966869831085205,1.6394882202148438,1745995135.4180071,1745995137.2541835
924,222,0.4144020080566406,13.137123584747314,1745995136.8457491,1745995150.397276
826,173,0.3464317321777344,9.676146268844604,1745995138.2741995,1745995148.296779
696,158,0.340073823928833,9.108992338180542,1745995139.7031827,1745995149.1522503
717,276,0.29819560050964355,15.388891696929932,1745995141.134396,1745995156.8214848
507,246,0.23093366622924805,13.67169451713562,1745995142.5608206,1745995156.4634502
816,321,0.3316781520843506,17.85942506790161,1745995143.9893723,1745995162.1804764
351,134,0.2143092155456543,7.588012218475342,1745995145.417912,1745995153.2202349
340,84,0.19756102561950684,4.868076324462891,1745995146.8478398,1745995151.913478
593,231,0.28161191940307617,13.137643575668335,1745995148.2752311,1745995161.6944878
982,186,0.37462401390075684,10.193151235580444,1745995149.7031426,1745995160.270919
1214,416,0.43079257011413574,24.285256147384644,1745995151.132218,1745995175.8482678
899,434,0.3672034740447998,25.451272010803223,1745995152.5603418,1745995178.3788188
450,272,0.23827004432678223,15.261102437973022,1745995153.9888394,1745995169.488213
535,250,0.22081756591796875,14.024489879608154,1745995155.417824,1745995169.6631324
898,250,0.34625840187072754,14.360223531723022,1745995156.8468032,1745995171.553286
633,120,0.2803370952606201,6.4532904624938965,1745995158.2742763,1745995165.0079048
686,95,0.2893669605255127,5.434154272079468,1745995159.7035356,1745995165.4270582
1000,146,0.40404486656188965,8.004479169845581,1745995161.1315818,1745995169.5401068
487,9,0.21942591667175293,0.4238300323486328,1745995162.5606525,1745995163.2039096
782,253,0.3213207721710205,15.293145895004272,1745995163.9894252,1745995179.6038933
558,45,0.27901625633239746,2.3002073764801025,1745995165.4179504,1745995167.997175
488,133,0.22205233573913574,7.654762268066406,1745995166.8460038,1745995174.722819
926,433,0.37436437606811523,25.138835191726685,1745995168.2748423,1745995193.7880437
780,350,0.32489466667175293,20.078564643859863,1745995169.703285,1745995190.1067464
920,298,0.3669271469116211,16.78229331970215,1745995171.131755,1745995188.2809775
614,281,0.3016033172607422,15.634001970291138,1745995172.560214,1745995188.4958203
1204,112,0.46417903900146484,7.57652735710144,1745995173.9894993,1745995182.0302067
889,194,0.3725111484527588,13.261109352111816,1745995175.4177752,1745995189.0513966
578,272,0.28812456130981445,17.427701950073242,1745995176.8458297,1745995194.561658
738,327,0.34067392349243164,19.04436206817627,1745995178.2744014,1745995197.6594388
997,289,0.4085521697998047,17.995232582092285,1745995179.7034013,1745995198.1071873
879,381,0.2914915084838867,23.689146995544434,1745995181.1321988,1745995205.1128392
844,326,0.3815155029296875,19.957899808883667,1745995182.560425,1745995202.8998413
775,193,0.2832365036010742,11.59035849571228,1745995183.9895,1745995195.863096
1596,223,0.2991461753845215,13.589288473129272,1745995185.4177222,1745995199.3061578
895,261,0.17350411415100098,15.505550146102905,1745995186.8456123,1745995202.5246677
1172,302,0.44666242599487305,17.966328620910645,1745995188.2744792,1745995206.6874719
1218,162,0.3462798595428467,9.556719064712524,1745995189.7037265,1745995199.6067255
739,386,0.31992149353027344,23.03193163871765,1745995191.1315742,1745995214.48343
810,318,0.30326175689697266,18.827604293823242,1745995192.5607224,1745995211.6915898
1556,51,0.5867922306060791,2.7697572708129883,1745995193.9886425,1745995197.3451931
602,150,0.19847893714904785,9.013629913330078,1745995195.4180617,1745995204.6301715
778,206,0.17204761505126953,11.780599594116211,1745995196.8461957,1745995208.7988439
742,254,0.31735968589782715,15.115471601486206,1745995198.2747562,1745995213.7075894
1443,189,0.5691566467285156,10.515765190124512,1745995199.7037525,1745995210.7886753
541,294,0.17976737022399902,17.037468433380127,1745995201.1313367,1745995218.3485737
