prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.3028230667114258,15.362497091293335,1745994135.58687,1745994151.252195
543,332,0.2847402095794678,18.4408016204834,1745994137.587276,1745994156.3129022
550,286,0.24682378768920898,16.447648525238037,1745994139.5866284,1745994156.2811027
499,270,0.21967530250549316,15.086630821228027,1745994141.5875921,1745994156.8938994
1341,240,0.10502791404724121,13.749853610992432,1745994143.5871365,1745994157.4420192
765,125,0.1150808334350586,7.172614097595215,1745994145.5868044,1745994152.8745015
981,181,0.11249589920043945,10.625084638595581,1745994147.587198,1745994158.3247797
968,244,0.3809504508972168,13.23929762840271,1745994149.5876663,1745994163.2079155
673,51,0.28918886184692383,2.93097186088562,1745994151.586848,1745994154.80701
311,475,0.21453166007995605,26.343934297561646,1745994153.58698,1745994180.1454473
1209,77,0.11371946334838867,4.475438833236694,1745994155.5869653,1745994160.1761248
341,136,0.10004425048828125,7.332362651824951,1745994157.5878441,1745994165.0202525
517,250,0.11709403991699219,14.271365404129028,1745994159.588065,1745994173.9765253
477,262,0.1149137020111084,14.75784969329834,1745994161.5888057,1745994176.46157
1056,162,0.09845924377441406,8.96905779838562,1745994163.587677,1745994172.6551955
222,310,0.14591360092163086,18.034321308135986,1745994165.5867717,1745994183.7670083
708,108,0.10697126388549805,6.17975115776062,1745994167.5875,1745994173.874224
763,137,0.0870363712310791,8.071816444396973,1745994169.5869102,1745994177.7457643
818,460,0.34089159965515137,28.51843023300171,1745994171.5871477,1745994200.446471
875,247,0.35826706886291504,14.458656072616577,1745994173.5872157,1745994188.4041398
348,40,0.08971214294433594,2.381492853164673,1745994175.5875506,1745994178.0587573
190,130,0.07589530944824219,8.22571063041687,1745994177.5868695,1745994185.8884764
1071,297,0.43810296058654785,18.286991357803345,1745994179.588059,1745994198.3131545
1184,327,0.4776608943939209,18.79207420349121,1745994181.5872812,1745994200.8570178
377,30,0.11083197593688965,1.977187156677246,1745994183.5874143,1745994185.6754348
924,222,0.40149569511413574,12.650620222091675,1745994185.5870457,1745994198.6391623
826,173,0.3427882194519043,9.815596103668213,1745994187.587617,1745994197.7460024
696,158,0.31540679931640625,9.95375394821167,1745994189.5877924,1745994199.8569543
717,276,0.11489033699035645,15.104927778244019,1745994191.587289,1745994206.8071084
507,246,0.2431337833404541,15.64827561378479,1745994193.5866995,1745994209.4781106
816,321,0.1468644142150879,17.913421154022217,1745994195.5879354,1745994213.6482222
351,134,0.13058829307556152,7.945172548294067,1745994197.5871997,1745994205.662962
340,84,0.11382246017456055,4.612553834915161,1745994199.5867834,1745994204.3131616
593,231,0.09680962562561035,14.658597707748413,1745994201.5866776,1745994216.3420863
982,186,0.09001684188842773,11.734530687332153,1745994203.5871966,1745994215.4117453
1214,416,0.48476362228393555,23.397207260131836,1745994205.586697,1745994229.4686697
899,434,0.340425968170166,26.62770962715149,1745994207.5875897,1745994234.5557268
450,272,0.12350320816040039,15.64539885520935,1745994209.5874875,1745994225.3563907
535,250,0.22450780868530273,14.949339389801025,1745994211.5875094,1745994226.7613578
898,250,0.1214132308959961,13.939547538757324,1745994213.5872002,1745994227.6481621
633,120,0.263916015625,7.210484981536865,1745994215.587826,1745994223.0622277
686,95,0.31179285049438477,5.146742582321167,1745994217.5873556,1745994223.0458922
1000,146,0.10527610778808594,8.703157424926758,1745994219.5872574,1745994228.3956923
487,9,0.2553441524505615,0.4228098392486572,1745994221.587198,1745994222.2653532
782,253,0.3155171871185303,14.614397048950195,1745994223.58737,1745994238.5172858
558,43,0.28738927841186523,2.624966621398926,1745994225.586715,1745994228.499072
488,133,0.22574210166931152,8.109679460525513,1745994227.5876186,1745994235.9230413
926,433,0.3744776248931885,24.97981333732605,1745994229.5872824,1745994254.9415746
780,350,0.3005249500274658,21.165324449539185,1745994231.5869744,1745994253.0528243
920,298,0.11234021186828613,17.631155252456665,1745994233.5872958,1745994251.3307931
614,281,0.28068995475769043,16.868586540222168,1745994235.5869129,1745994252.7361906
1204,112,0.45845937728881836,6.490216493606567,1745994237.5867658,1745994244.5354426
889,195,0.34613800048828125,12.062050819396973,1745994239.586875,1745994251.995065
578,272,0.26293349266052246,16.216736793518066,1745994241.5872629,1745994258.0669353
738,327,0.3220553398132324,18.972399950027466,1745994243.5869215,1745994262.8813784
997,289,0.08996105194091797,17.926643133163452,1745994245.5872443,1745994263.6038494
879,381,0.3613276481628418,24.231526374816895,1745994247.5874312,1745994272.180287
844,326,0.37231969833374023,19.018730640411377,1745994249.587138,1745994268.9781888
775,193,0.11609768867492676,12.547318458557129,1745994251.5873492,1745994264.2507665
1596,223,0.5902163982391357,12.475747108459473,1745994253.5868711,1745994266.6528356
895,261,0.14049100875854492,14.99792194366455,1745994255.5869157,1745994270.7253315
1172,302,0.42293262481689453,19.23464798927307,1745994257.5877082,1745994277.24529
1218,162,0.4727351665496826,10.207337379455566,1745994259.5869107,1745994270.2669842
739,391,0.11140680313110352,23.839572191238403,1745994261.5868592,1745994285.5378394
810,318,0.3423616886138916,19.429471015930176,1745994263.5876198,1745994283.3594537
1556,51,0.5519511699676514,3.185340642929077,1745994265.5875602,1745994269.3248532
602,150,0.24722790718078613,9.577836990356445,1745994267.587177,1745994277.412244
778,206,0.3503072261810303,12.796767234802246,1745994269.5876257,1745994282.734702
742,254,0.3196253776550293,15.78003454208374,1745994271.5869358,1745994287.6865973
1443,189,0.5624792575836182,11.06739091873169,1745994273.5875828,1745994285.2174544
541,294,0.2388315200805664,16.75275230407715,1745994275.5875804,1745994292.579166
857,131,0.3490164279937744,8.377544641494751,1745994277.5872436,1745994286.313806
1024,175,0.40769124031066895,10.570539236068726,1745994279.5869038,1745994290.5651355
1404,366,0.1780085563659668,22.386805057525635,1745994281.5872588,1745994304.1520743
1152,67,0.10049676895141602,3.669379472732544,1745994283.5868564,1745994287.3567343
