prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.1185920238494873,1.1855628490447998,5203,1,1746003349.3746269,1746003350.678783
76.0,20.0,0.12020730972290039,1.182845115661621,5204,1,1746003353.193363,1746003354.4964175
76.0,20.0,0.14975500106811523,1.0240082740783691,5205,1,1746003357.011736,1746003358.1855009
76.0,20.0,0.09739565849304199,1.2464120388031006,5206,1,1746003360.8359864,1746003362.1797957
76.0,20.0,0.15280747413635254,1.2168381214141846,5207,1,1746003364.5619748,1746003365.9316216
76.0,20.0,0.08298635482788086,1.2525303363800049,5208,1,1746003368.3829482,1746003369.718466
76.0,20.0,0.09170770645141602,1.2628636360168457,5209,1,1746003372.2101772,1746003373.5647504
76.0,20.0,0.14403223991394043,1.045421838760376,5210,1,1746003376.294616,1746003377.4840717
76.0,20.0,0.13329768180847168,1.0161917209625244,5211,1,1746003379.8205886,1746003380.970079
76.0,20.0,0.11257743835449219,1.0200989246368408,5212,1,1746003383.5412261,1746003384.6739035
76.0,20.0,0.11121153831481934,1.0303881168365479,5213,1,1746003387.3707314,1746003388.5123324
76.0,20.0,0.12057352066040039,1.1926443576812744,5214,1,1746003391.1938186,1746003392.5070379
76.0,20.0,0.11248087882995605,1.2662317752838135,5215,1,1746003395.017485,1746003396.3961992
76.0,20.0,0.08176493644714355,1.0270984172821045,5216,1,1746003398.7435193,1746003399.852384
76.0,20.0,0.11914992332458496,1.0319688320159912,5217,1,1746003402.56644,1746003403.71756
76.0,20.0,0.15692543983459473,1.0259056091308594,5218,1,1746003407.0611966,1746003408.2440293
76.0,20.0,0.0782930850982666,1.136371374130249,5219,1,1746003346.16005,1746003347.3747158
125.0,20.0,0.12283778190612793,1.0537922382354736,5219,2,1746003410.188236,1746003411.3648667
76.0,20.0,0.1014869213104248,1.0230166912078857,5220,1,1746003349.9772644,1746003351.1017692
125.0,20.0,0.10157084465026855,1.3271973133087158,5220,2,1746003414.050239,1746003415.4790087
76.0,20.0,0.07779383659362793,1.0438964366912842,5221,1,1746003353.795581,1746003354.9172723
125.0,20.0,0.10481452941894531,1.258305311203003,5221,2,1746003417.8709753,1746003419.2340965
76.0,20.0,0.07923722267150879,1.0388226509094238,5222,1,1746003357.6144562,1746003358.7325177
125.0,20.0,0.10268282890319824,1.0360713005065918,5222,2,1746003421.6918132,1746003422.8305693
76.0,20.0,0.07971763610839844,1.0063691139221191,5223,1,1746003361.3388937,1746003362.4249816
125.0,20.0,0.08270716667175293,1.0405638217926025,5223,2,1746003425.4209836,1746003426.5442562
76.0,20.0,0.10443353652954102,1.0298070907592773,5224,1,1746003365.1650918,1746003366.2993329
125.0,20.0,0.1264040470123291,1.055079460144043,5224,2,1746003429.240723,1746003430.4222076
76.0,20.0,0.11372923851013184,1.0365829467773438,5225,1,1746003368.9856107,1746003370.1359243
125.0,20.0,0.1178441047668457,1.2387144565582275,5225,2,1746003433.0602133,1746003434.4167738
76.0,20.0,0.1243584156036377,1.0208745002746582,5226,1,1746003372.8154025,1746003373.9606369
125.0,20.0,0.09868764877319336,1.1620149612426758,5226,2,1746003436.8827038,1746003438.1434073
76.0,20.0,0.12473654747009277,1.0211656093597412,5227,1,1746003376.599952,1746003377.7458556
125.0,20.0,0.1091916561126709,1.0644078254699707,5227,2,1746003440.6704946,1746003441.8440952
76.0,20.0,0.12646722793579102,1.0140905380249023,5228,1,1746003380.4248993,1746003381.565458
125.0,20.0,0.24770617485046387,1.0099987983703613,5228,2,1746003444.4965732,1746003445.7542791
76.0,20.0,0.10593795776367188,1.0236337184906006,5229,1,1746003384.1435423,1746003385.2731152
76.0,20.0,0.1043698787689209,1.0199291706085205,5230,1,1746003387.9738379,1746003389.0981376
76.0,20.0,0.08885335922241211,1.1673822402954102,5231,1,1746003391.7997034,1746003393.0559397
76.0,20.0,0.13002538681030273,1.0299384593963623,5232,1,1746003395.6236603,1746003396.7836254
76.0,20.0,0.08947372436523438,1.2174501419067383,5233,1,1746003399.3459816,1746003400.6529067
76.0,20.0,0.11430835723876953,1.029935359954834,5234,1,1746003403.1693745,1746003404.3136196
76.0,20.0,0.11126375198364258,1.2106213569641113,5235,1,1746003407.0631163,1746003408.385003
76.0,20.0,0.0920860767364502,1.0827116966247559,5236,1,1746003346.763609,1746003347.938408
125.0,20.0,0.14124035835266113,1.0133752822875977,5236,2,1746003410.7905633,1746003411.9451804
76.0,20.0,0.12183952331542969,1.1167902946472168,5237,1,1746003350.580008,1746003351.818639
125.0,20.0,0.1209878921508789,1.0353190898895264,5237,2,1746003414.6529217,1746003415.8092299
76.0,20.0,0.10561990737915039,1.1841516494750977,5238,1,1746003354.3986633,1746003355.6884363
125.0,20.0,0.10083174705505371,1.2465689182281494,5238,2,1746003418.473875,1746003419.821277
76.0,20.0,0.13977742195129395,1.0122897624969482,5239,1,1746003358.2168467,1746003359.368915
125.0,20.0,0.08662009239196777,1.0579509735107422,5239,2,1746003422.2946527,1746003423.4392252
76.0,20.0,0.09142017364501953,1.1852200031280518,5240,1,1746003361.9411042,1746003363.217746
125.0,20.0,0.07672595977783203,1.1749424934387207,5240,2,1746003426.0237267,1746003427.2753968
76.0,20.0,0.11016535758972168,1.1812632083892822,5241,1,1746003365.7675235,1746003367.0589533
125.0,20.0,0.14519500732421875,1.0360705852508545,5241,2,1746003429.842712,1746003431.0239787
76.0,20.0,0.07616662979125977,1.1367952823638916,5242,1,1746003369.5884864,1746003370.8014507
