prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.3437004089355469,19.181154251098633,1745994767.6917822,1745994787.2166383
543,332,0.14471125602722168,21.899314165115356,1745994769.1839259,1745994791.2279525
550,286,0.28395843505859375,15.548413038253784,1745994770.6764843,1745994786.5088568
499,270,0.10810971260070801,18.202855348587036,1745994772.169092,1745994790.4800587
1341,240,0.12356114387512207,13.138737440109253,1745994773.6615212,1745994786.923821
765,125,0.08155632019042969,6.465078830718994,1745994775.1538837,1745994781.7005234
981,181,0.12912869453430176,12.154906988143921,1745994776.6464472,1745994788.930484
968,244,0.07786703109741211,13.995753765106201,1745994778.1395664,1745994792.213189
673,51,0.10556864738464355,3.8577780723571777,1745994779.6322632,1745994783.5956128
311,475,0.0976557731628418,32.155704975128174,1745994781.1262252,1745994813.379588
1209,77,0.2554798126220703,4.96720814704895,1745994782.617418,1745994787.8401077
341,147,0.09525322914123535,9.893975734710693,1745994784.1098857,1745994794.0991163
517,250,0.07232213020324707,13.802026271820068,1745994785.6024277,1745994799.476778
477,262,0.2147972583770752,14.230955362319946,1745994787.0952892,1745994801.5410435
1056,162,0.12319111824035645,11.521963834762573,1745994788.5875847,1745994800.232741
222,310,0.15496206283569336,16.854116201400757,1745994790.0800679,1745994807.0891476
708,108,0.13416028022766113,8.525784254074097,1745994791.5726483,1745994800.2325943
763,137,0.3335096836090088,9.709845304489136,1745994793.0652938,1745994803.1086504
818,460,0.1031942367553711,26.629030227661133,1745994794.557388,1745994821.2896144
875,247,0.11385822296142578,13.754113912582397,1745994796.0495934,1745994809.9175673
348,40,0.1768324375152588,2.830669403076172,1745994797.5428889,1745994800.550392
190,130,0.0761568546295166,6.849764347076416,1745994799.034672,1745994805.960595
1071,297,0.13277125358581543,20.07603931427002,1745994800.5274303,1745994820.7362428
1184,327,0.12710309028625488,22.81632423400879,1745994802.019589,1745994824.9630175
377,30,0.12347602844238281,1.4995341300964355,1745994803.5124657,1745994805.1354766
924,222,0.11050057411193848,14.835510015487671,1745994805.0048425,1745994819.9508543
826,173,0.4094233512878418,10.415428638458252,1745994806.4978244,1745994817.3226779
696,158,0.13482284545898438,11.16943645477295,1745994807.9903593,1745994819.2946193
717,276,0.3271636962890625,16.192883491516113,1745994809.483203,1745994826.0032513
507,246,0.11211872100830078,14.543245315551758,1745994810.9755046,1745994825.6308706
816,321,0.14275121688842773,21.809587240219116,1745994812.467482,1745994834.419822
351,134,0.1426699161529541,9.807186365127563,1745994813.9603536,1745994823.9102113
340,84,0.09938526153564453,5.254519701004028,1745994815.45319,1745994820.8070967
593,231,0.2677314281463623,13.85299825668335,1745994816.9460037,1745994831.0667348
982,186,0.1435542106628418,12.803605079650879,1745994818.4384394,1745994831.3856
1214,416,0.4370858669281006,26.171812772750854,1745994819.930073,1745994846.538973
899,434,0.4046814441680908,30.99824619293213,1745994821.4229136,1745994852.825843
450,272,0.1200399398803711,16.585952520370483,1745994822.9154704,1745994839.6214645
535,250,0.12047290802001953,17.26578164100647,1745994824.4099984,1745994841.7962542
898,250,0.11464428901672363,16.879989862442017,1745994825.901154,1745994842.8957891
633,120,0.16335630416870117,7.777532577514648,1745994827.393279,1745994835.3341696
