prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
21073.0,100.0,0.07860636711120605,1.361466646194458,23,1,1746055279.5706034,1746055281.010677
21202.0,100.0,0.09028911590576172,1.519719123840332,23,2,1746055329.6311808,1746055331.2411902
21073.0,100.0,0.07925558090209961,1.3624651432037354,24,1,1746055292.896454,1746055294.3381753
21202.0,100.0,0.08002424240112305,1.3621039390563965,24,2,1746055342.955534,1746055344.3976629
21073.0,100.0,0.08080434799194336,1.3618006706237793,25,1,1746055306.1536624,1746055307.596268
21202.0,100.0,0.08050251007080078,1.3634159564971924,25,2,1746055356.1773508,1746055357.6212697
21073.0,100.0,0.07942605018615723,1.3757171630859375,26,1,1746055269.551526,1746055271.0066705
21202.0,100.0,0.08000516891479492,1.3627595901489258,26,2,1746055319.5749621,1746055321.0177274
21073.0,100.0,0.07921457290649414,1.3579614162445068,27,1,1746055282.8771176,1746055284.3142943
21202.0,100.0,0.07772970199584961,1.3565819263458252,27,2,1746055332.939592,1746055334.3739042
21073.0,100.0,0.07882046699523926,1.3595714569091797,28,1,1746055296.2350516,1746055297.673444
21202.0,100.0,0.08240628242492676,1.3631970882415771,28,2,1746055346.2606385,1746055347.7062423
21073.0,100.0,0.07902669906616211,1.362309217453003,29,1,1746055309.5590978,1746055311.0004349
21202.0,100.0,0.07946348190307617,1.3619565963745117,29,2,1746055359.6168885,1746055361.0583093
21073.0,100.0,0.08069992065429688,1.3672730922698975,30,1,1746055272.8586304,1746055274.3066044
21202.0,100.0,0.08036661148071289,1.3625874519348145,30,2,1746055322.8813195,1746055324.3242745
21073.0,100.0,0.07843232154846191,1.3616619110107422,31,1,1746055286.1829984,1746055287.6230934
21202.0,100.0,0.08086252212524414,1.3664488792419434,31,2,1746055336.244726,1746055337.692038
21073.0,100.0,0.07874727249145508,1.3590037822723389,32,1,1746055299.5414286,1746055300.9791803
21202.0,100.0,0.08073306083679199,1.3851475715637207,32,2,1746055349.5661807,1746055351.032062
21073.0,100.0,0.08325719833374023,1.4057247638702393,33,1,1746055312.8647618,1746055314.3537443
21202.0,100.0,0.08048367500305176,1.3710658550262451,33,2,1746055362.9226635,1746055364.374214
21073.0,100.0,0.08112478256225586,1.3699679374694824,34,1,1746055276.1643443,1746055277.6154377
21202.0,100.0,0.09957027435302734,1.372791051864624,34,2,1746055326.1871169,1746055327.659479
21073.0,100.0,0.07406067848205566,1.3527979850769043,35,1,1746055289.489715,1746055290.9165742
21202.0,100.0,0.0799245834350586,1.3625564575195312,35,2,1746055339.550007,1746055340.9924889
21073.0,100.0,0.07965373992919922,1.3574750423431396,36,1,1746055302.8480048,1746055304.285134
21202.0,100.0,0.07758307456970215,1.3644754886627197,36,2,1746055352.87182,1746055354.313879
21073.0,100.0,0.06387114524841309,1.353769302368164,37,1,1746055266.1393938,1746055267.5570352
21202.0,100.0,0.07997298240661621,1.3622620105743408,37,2,1746055316.1699305,1746055317.612166
21073.0,100.0,0.06496143341064453,1.5461385250091553,38,1,1746055329.530943,1746055331.1420436
