prompt_tokens,generation_tokens,ttft,generation_time,launch_time,finish_time
689,275,0.2878389358520508,16.827730178833008,1745794459.9532757,1745794477.068846
543,332,0.3145155906677246,20.238121032714844,1745794461.446004,1745794481.9986417
550,286,0.20513057708740234,17.531251907348633,1745794462.9387827,1745794480.6751661
499,270,0.26934242248535156,16.67680835723877,1745794464.4310894,1745794481.3772414
1341,240,0.2378096580505371,14.952814102172852,1745794465.9235106,1745794481.1141355
765,125,0.1817302703857422,7.9640538692474365,1745794467.416445,1745794475.5622308
981,181,0.2840538024902344,11.320486783981323,1745794468.9087014,1745794480.5132432
968,244,0.3879702091217041,14.942399024963379,1745794470.401724,1745794485.7320948
673,51,0.37616658210754395,3.188838005065918,1745794471.8938563,1745794475.4588645
311,475,0.22388339042663574,28.79512596130371,1745794473.3867197,1745794502.40573
1209,77,0.4092235565185547,4.639946699142456,1745794474.8791099,1745794479.9282808
341,136,0.2134108543395996,7.960657358169556,1745794476.371784,1745794484.5458531
517,250,0.21979975700378418,14.573210716247559,1745794477.8639934,1745794492.6570053
477,262,0.29932379722595215,15.440622091293335,1745794479.356574,1745794495.0965211
1056,162,0.21059656143188477,9.38100814819336,1745794480.8490036,1745794490.440609
222,310,0.1443793773651123,18.57597804069519,1745794482.341673,1745794501.0620315
708,108,0.18760371208190918,6.313591718673706,1745794483.8342838,1745794490.3354807
763,137,0.2963738441467285,7.885629892349243,1745794485.3267121,1745794493.5087166
818,460,0.22235941886901855,28.450416326522827,1745794486.8192494,1745794515.492026
875,247,0.22204136848449707,14.95192003250122,1745794488.3119812,1745794503.4859443
348,40,0.15166664123535156,2.179302453994751,1745794489.8047023,1745794492.1356723
190,130,0.1474137306213379,7.96189022064209,1745794491.2971277,1745794499.406433
1071,297,0.19956541061401367,18.431164026260376,1745794492.789125,1745794511.419855
1184,327,0.39484572410583496,20.317816495895386,1745794494.2822702,1745794514.9949336
377,30,0.23066329956054688,1.7530860900878906,1745794495.7742078,1745794497.7579584
924,222,0.2747232913970947,13.771564960479736,1745794497.2674086,1745794511.3136978
826,173,0.32439756393432617,10.646467924118042,1745794498.7593694,1745794509.7302356
696,158,0.27440452575683594,9.628706693649292,1745794500.2527611,1745794510.1558733
717,276,0.28385233879089355,17.15347194671631,1745794501.7442844,1745794519.1816099
507,246,0.1891319751739502,15.421631813049316,1745794503.2380068,1745794518.848772
816,321,0.45050644874572754,19.94670009613037,1745794504.7296858,1745794525.1268935
351,134,0.19988584518432617,8.305295467376709,1745794506.2224507,1745794514.7276337
340,84,0.21876859664916992,5.224464178085327,1745794507.7149918,1745794513.158226
593,231,0.24725914001464844,14.473268508911133,1745794509.2073524,1745794523.927881
982,186,0.2841298580169678,11.477018356323242,1745794510.700379,1745794522.4615283
1214,416,0.3734898567199707,25.69044017791748,1745794512.1924243,1745794538.2563558
899,434,0.2868993282318115,26.584704399108887,1745794513.6851919,1745794540.5567968
450,272,0.25595784187316895,16.87058925628662,1745794515.1780682,1745794532.3046174
535,250,0.18711280822753906,15.55281949043274,1745794516.670025,1745794532.4099588
898,250,0.2583765983581543,15.420091152191162,1745794518.1630688,1745794533.8415377
633,120,0.22283363342285156,7.221497535705566,1745794519.6548674,1745794527.0991998
686,93,0.29539918899536133,5.548079013824463,1745794521.1484182,1745794526.9918978
1000,146,0.3751688003540039,9.023905754089355,1745794522.6408217,1745794532.0398974
487,9,0.1916499137878418,0.4342808723449707,1745794524.1330605,1745794524.7589927
782,253,0.19189953804016113,15.50921630859375,1745794525.625236,1745794541.326353
558,43,0.20243358612060547,2.4513325691223145,1745794527.1179085,1745794529.7716758
488,133,0.25301074981689453,8.140486717224121,1745794528.6100364,1745794537.003535
926,433,0.36708855628967285,27.03275203704834,1745794530.102961,1745794557.502803
780,350,0.3304173946380615,21.5434787273407,1745794531.5955656,1745794553.4694629
920,298,0.17426848411560059,18.38769841194153,1745794533.088562,1745794551.6505303
614,281,0.2233567237854004,17.33297610282898,1745794534.5810752,1745794552.137409
1204,112,0.28353333473205566,6.75110387802124,1745794536.0733607,1745794543.1079993
889,195,0.2566986083984375,12.068897485733032,1745794537.565224,1745794549.8908215
578,272,0.2124190330505371,17.01137638092041,1745794539.0576727,1745794556.2814693
738,327,0.2949838638305664,20.426442861557007,1745794540.5513787,1745794561.2728066
997,289,0.31463623046875,18.160181283950806,1745794542.0433388,1745794560.5181572
879,381,0.22794651985168457,24.16084599494934,1745794543.5362332,1745794567.9250274
844,326,0.2529947757720947,20.588425397872925,1745794545.0285335,1745794565.8699546
775,193,0.33113837242126465,12.187414646148682,1745794546.5206385,1745794559.0391927
1596,223,0.2658848762512207,14.043937921524048,1745794548.013963,1745794562.3237867
895,261,0.2178971767425537,16.600671768188477,1745794549.506208,1745794566.3247783
1172,302,0.2664926052093506,19.109108448028564,1745794550.9986136,1745794570.3742156
1218,162,0.26791882514953613,10.046056032180786,1745794552.4908128,1745794562.804789
739,391,0.1954813003540039,24.508550882339478,1745794553.9833443,1745794578.6873772
810,318,0.31058406829833984,19.92328977584839,1745794555.476022,1745794575.7098973
1556,51,0.3646390438079834,3.077918529510498,1745794556.968472,1745794560.41103
602,150,0.24716663360595703,9.430508852005005,1745794558.4615152,1745794568.1391919
778,206,0.2362663745880127,12.872133493423462,1745794559.9535098,1745794573.0619106
742,254,0.2786293029785156,15.804737091064453,1745794561.4461892,1745794577.5295568
1443,189,0.2662820816040039,11.625792264938354,1745794562.9390833,1745794574.8311589
541,294,0.2984805107116699,17.956909894943237,1745794564.4312503,1745794582.686642
857,131,0.23170971870422363,8.0428147315979,1745794565.9240189,1745794574.1985445
1024,175,0.28980040550231934,10.722745895385742,1745794567.4169552,1745794578.4295025
1404,366,0.327394962310791,21.938579082489014,1745794568.9085557,1745794591.174531
1152,67,0.2199394702911377,3.8426928520202637,1745794570.4016495,1745794574.464283
407,47,0.13722681999206543,2.6424241065979004,1745794571.8942957,1745794574.6739473
