prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
76.0,20.0,0.25734591484069824,7.776074409484863,1603,1,1745807219.6265395,1745807227.6599603
76.0,20.0,0.23265910148620605,7.92874550819397,1604,1,1745807221.5412314,1745807229.702637
76.0,20.0,0.24537348747253418,8.13258695602417,1605,1,1745807223.45212,1745807231.8300815
76.0,20.0,0.22214913368225098,8.06074833869934,1606,1,1745807225.3629239,1745807233.6458225
76.0,20.0,0.2098393440246582,7.91292929649353,1607,1,1745807227.2730856,1745807235.3958552
76.0,20.0,0.24095964431762695,8.563263893127441,1608,1,1745807229.1035993,1745807237.9078238
76.0,20.0,0.2708158493041992,8.925383567810059,1609,1,1745807231.0330923,1745807240.2292926
76.0,20.0,0.24877381324768066,8.860259294509888,1610,1,1745807232.9497478,1745807242.0587816
76.0,20.0,0.2269580364227295,9.161648750305176,1611,1,1745807234.8857381,1745807244.2743464
76.0,20.0,0.24544382095336914,9.256493091583252,1612,1,1745807236.7040946,1745807246.2060323
76.0,20.0,0.23508405685424805,9.40193486213684,1613,1,1745807238.623721,1745807248.2607408
76.0,20.0,0.23295831680297852,7.6355602741241455,1614,1,1745807240.5398078,1745807248.408327
76.0,20.0,0.21757173538208008,5.810732126235962,1615,1,1745807242.459562,1745807248.4878666
76.0,20.0,0.12055587768554688,4.8385231494903564,1616,1,1745807244.3747103,1745807249.3337903
76.0,20.0,0.2257983684539795,4.857027769088745,1617,1,1745807246.2029307,1745807251.285758
76.0,20.0,0.10712695121765137,6.712650299072266,1619,1,1745807218.017737,1745807224.8375156
76.0,20.0,0.1966567039489746,7.54584813117981,1620,1,1745807219.9304826,1745807227.672988
76.0,20.0,0.1120295524597168,7.748841762542725,1621,1,1745807221.842876,1745807229.7037477
76.0,20.0,0.11467123031616211,7.962027072906494,1622,1,1745807223.7539642,1745807231.830663
76.0,20.0,0.24694013595581055,8.089771270751953,1623,1,1745807225.66528,1745807234.001992
76.0,20.0,0.22116398811340332,8.008713722229004,1624,1,1745807227.5841157,1745807235.8139946
76.0,20.0,0.11091065406799316,8.37464427947998,1625,1,1745807229.4091144,1745807237.8946702
76.0,20.0,0.21303892135620117,8.679649829864502,1626,1,1745807231.3369415,1745807240.229631
76.0,20.0,0.19030380249023438,8.589092493057251,1627,1,1745807233.252513,1745807242.0319104
76.0,20.0,0.25013041496276855,9.223037481307983,1628,1,1745807235.1919985,1745807244.6651673
76.0,20.0,0.216261625289917,8.96797776222229,1629,1,1745807237.0057063,1745807246.189947
76.0,20.0,0.20308184623718262,9.210853099822998,1630,1,1745807238.9284344,1745807248.3423707
76.0,20.0,0.19954347610473633,7.370193243026733,1631,1,1745807240.8427076,1745807248.4124448
76.0,20.0,0.2413318157196045,5.505033731460571,1632,1,1745807242.758705,1745807248.5050712
76.0,20.0,0.23621344566345215,4.828648328781128,1633,1,1745807244.6865587,1745807249.751421
76.0,20.0,0.27118825912475586,5.006211757659912,1634,1,1745807246.5105016,1745807251.7879033
76.0,20.0,0.09955239295959473,6.813742160797119,1636,1,1745807218.319002,1745807225.2322977
76.0,20.0,0.20029139518737793,7.66095495223999,1637,1,1745807220.234177,1745807228.0954244
76.0,20.0,0.19753193855285645,7.785071611404419,1638,1,1745807222.144438,1745807230.1270425
76.0,20.0,0.12705612182617188,8.0480797290802,1639,1,1745807224.0555236,1745807232.2306604
76.0,20.0,0.11770510673522949,7.919151544570923,1640,1,1745807225.9658592,1745807234.0027163
76.0,20.0,0.23652338981628418,8.364629983901978,1641,1,1745807227.8912644,1745807236.4924185
76.0,20.0,0.19733953475952148,8.408822536468506,1642,1,1745807229.715342,1745807238.321505
76.0,20.0,0.2370131015777588,8.751617908477783,1643,1,1745807231.637936,1745807240.6265688
76.0,20.0,0.22550725936889648,8.69308352470398,1644,1,1745807233.553882,1745807242.4724731
76.0,20.0,0.11443853378295898,9.084287881851196,1645,1,1745807235.498092,1745807244.6968193
76.0,20.0,0.23996472358703613,9.188326835632324,1646,1,1745807237.3067338,1745807246.7350264
76.0,20.0,0.23198270797729492,8.805092334747314,1647,1,1745807239.229695,1745807248.266772
76.0,20.0,0.22333264350891113,7.04710578918457,1648,1,1745807241.1438208,1745807248.4142597
76.0,20.0,0.11676859855651855,5.309712171554565,1649,1,1745807243.0599895,1745807248.4864712
76.0,20.0,0.10679006576538086,4.639362812042236,1650,1,1745807244.9873335,1745807249.7334874
76.0,20.0,0.20946407318115234,4.76945161819458,1651,1,1745807246.8186376,1745807251.7975547
76.0,20.0,0.1022491455078125,7.139058828353882,1653,1,1745807218.6205802,1745807225.861889
76.0,20.0,0.20467090606689453,7.7343909740448,1654,1,1745807220.5358758,1745807228.474939
76.0,20.0,0.20609259605407715,7.746438980102539,1655,1,1745807222.4467237,1745807230.399257
76.0,20.0,0.2145519256591797,8.054975986480713,1656,1,1745807224.3611712,1745807232.6307006
76.0,20.0,0.20908308029174805,7.9000022411346436,1657,1,1745807226.2705734,1745807234.3796594
76.0,20.0,0.10249066352844238,8.180019855499268,1658,1,1745807228.196579,1745807236.4790905
76.0,20.0,0.21870827674865723,8.473748922348022,1659,1,1745807230.0163932,1745807238.7088518
76.0,20.0,0.1006624698638916,8.605071783065796,1660,1,1745807231.9427881,1745807240.6485238
76.0,20.0,0.22857189178466797,9.267015218734741,1661,1,1745807233.8768313,1745807243.3724189
76.0,20.0,0.23325729370117188,9.217328548431396,1662,1,1745807235.8148715,1745807245.2654593
76.0,20.0,0.11455202102661133,8.991557359695435,1663,1,1745807237.6079903,1745807246.7141001
76.0,20.0,0.0985097885131836,8.713073253631592,1664,1,1745807239.533395,1745807248.3449793
76.0,20.0,0.24510550498962402,6.757356405258179,1665,1,1745807241.4484146,1745807248.4508774
76.0,20.0,0.20807409286499023,4.966092109680176,1666,1,1745807243.3710604,1745807248.5452275
76.0,20.0,0.20574498176574707,4.568464994430542,1667,1,1745807245.2904391,1745807250.0646503
76.0,20.0,0.23365449905395508,4.934527158737183,1668,1,1745807247.1200857,1745807252.2882683
76.0,20.0,0.10331869125366211,7.247536659240723,1670,1,1745807218.9234018,1745807226.2742581
76.0,20.0,0.21048879623413086,7.886782884597778,1671,1,1745807220.8374782,1745807228.934751
76.0,20.0,0.21600985527038574,7.866412401199341,1672,1,1745807222.7484474,1745807230.8308704
76.0,20.0,0.24408459663391113,8.135004997253418,1673,1,1745807224.6597004,1745807233.0387907
76.0,20.0,0.2388460636138916,7.9898576736450195,1674,1,1745807226.5692275,1745807234.7979321
76.0,20.0,0.1988520622253418,8.190933465957642,1675,1,1745807228.4978466,1745807236.8876333
76.0,20.0,0.22823166847229004,8.775396823883057,1676,1,1745807230.3294697,1745807239.3330986
76.0,20.0,0.19508123397827148,8.783218145370483,1677,1,1745807232.244704,1745807241.2230048
76.0,20.0,0.24829363822937012,9.42459750175476,1678,1,1745807234.1816208,1745807243.854513
76.0,20.0,0.21409916877746582,9.063552856445312,1679,1,1745807236.001222,1745807245.2788746
76.0,20.0,0.2052476406097412,9.10787558555603,1680,1,1745807237.9176219,1745807247.2307456
76.0,20.0,0.19586491584777832,8.381119728088379,1681,1,1745807239.8345819,1745807248.4115674
76.0,20.0,0.11429238319396973,6.588130950927734,1682,1,1745807241.749699,1745807248.4521232
76.0,20.0,0.24097919464111328,4.797035217285156,1683,1,1745807243.6709158,1745807248.708931
76.0,20.0,0.23556947708129883,4.765858173370361,1684,1,1745807245.5904925,1745807250.591921
76.0,20.0,0.10096335411071777,4.7544050216674805,1685,1,1745807247.4237123,1745807252.279082
76.0,20.0,0.10549545288085938,7.422616958618164,1687,1,1745807219.2246897,1745807226.7528028
76.0,20.0,0.21774983406066895,7.704487085342407,1688,1,1745807221.1388931,1745807229.061131
76.0,20.0,0.2244868278503418,7.962864398956299,1689,1,1745807223.049574,1745807231.2369263
76.0,20.0,0.11497974395751953,7.962527513504028,1690,1,1745807224.9609954,1745807233.0385034
76.0,20.0,0.111114501953125,7.8009912967681885,1691,1,1745807226.8708625,1745807234.7829697
76.0,20.0,0.35802388191223145,8.750940322875977,1692,1,1745807228.799205,1745807237.9081702
76.0,20.0,0.24932003021240234,8.945667743682861,1693,1,1745807230.6309695,1745807239.8259583
76.0,20.0,0.223175048828125,8.879116535186768,1694,1,1745807232.5458148,1745807241.648107
76.0,20.0,0.1186971664428711,9.26912236213684,1695,1,1745807234.4829836,1745807243.8708036
76.0,20.0,0.23766231536865234,9.16880488395691,1696,1,1745807236.3022397,1745807245.7087076
76.0,20.0,0.22794508934020996,9.256155014038086,1697,1,1745807238.2204306,1745807247.7045314
