prompt_tokens,generation_tokens,ttft,generation_time,user_id,question_id,launch_time,finish_time
75.0,20.0,0.13593268394470215,1.129087209701538,803,1,1745806585.6030254,1745806586.868046
75.0,20.0,0.16486191749572754,1.1296722888946533,804,1,1745806595.1306243,1745806596.4251592
75.0,20.0,0.1394035816192627,1.1275153160095215,805,1,1745806604.6596181,1745806605.9265375
75.0,20.0,0.11119937896728516,1.2048940658569336,806,1,1745806614.0706592,1745806615.3867536
75.0,20.0,0.09854269027709961,1.2143797874450684,807,1,1745806623.6035974,1745806624.9165213
75.0,20.0,0.20092105865478516,1.1307835578918457,808,1,1745806633.1370318,1745806634.468738
75.0,20.0,0.20522165298461914,1.1344237327575684,809,1,1745806642.6534665,1745806643.9931123
75.0,20.0,0.12361884117126465,1.2048418521881104,810,1,1745806652.0847876,1745806653.413249
75.0,20.0,0.12890243530273438,1.210625410079956,811,1,1745806661.6126814,1745806662.9522107
75.0,20.0,0.13039422035217285,1.2031185626983643,812,1,1745806671.0934074,1745806672.4269218
75.0,20.0,0.11197733879089355,1.1262357234954834,819,1,1745806577.5803466,1745806578.8185608
75.0,20.0,0.13728642463684082,1.1230599880218506,820,1,1745806587.1097708,1745806588.370118
75.0,20.0,0.12062287330627441,1.1267869472503662,821,1,1745806596.6371176,1745806597.8845286
75.0,20.0,0.11306405067443848,1.2084941864013672,822,1,1745806606.547109,1745806607.868669
75.0,20.0,0.13922929763793945,1.1237013339996338,823,1,1745806615.5785918,1745806616.8415227
75.0,20.0,0.13061761856079102,1.12471342086792,824,1,1745806625.1113935,1745806626.3667257
75.0,20.0,0.10760307312011719,1.1212584972381592,825,1,1745806634.644715,1745806635.8735778
75.0,20.0,0.11639785766601562,1.1265008449554443,826,1,1745806644.160047,1745806645.4029465
75.0,20.0,0.10488295555114746,1.1260986328125,827,1,1745806653.5922706,1745806654.8232532
75.0,20.0,0.1150519847869873,1.1251955032348633,828,1,1745806663.1189904,1745806664.3592389
75.0,20.0,0.10788249969482422,1.128556489944458,829,1,1745806672.6007652,1745806673.8372054
75.0,20.0,0.11688232421875,1.124871015548706,836,1,1745806579.0841577,1745806580.3259118
75.0,20.0,0.13978099822998047,1.1271092891693115,837,1,1745806588.613231,1745806589.8801231
75.0,20.0,0.1246337890625,1.122633457183838,838,1,1745806598.1412432,1745806599.3885117
75.0,20.0,0.11557626724243164,1.122631549835205,839,1,1745806607.6498501,1745806608.8880591
75.0,20.0,0.14221620559692383,1.1284112930297852,840,1,1745806617.083061,1745806618.3536901
75.0,20.0,0.13135647773742676,1.1245570182800293,841,1,1745806626.618049,1745806627.8739638
75.0,20.0,0.10538125038146973,1.1237773895263672,842,1,1745806636.1492703,1745806637.3784301
75.0,20.0,0.12197732925415039,1.1282622814178467,843,1,1745806645.5638828,1745806646.8141236
75.0,20.0,0.10888171195983887,1.1256248950958252,844,1,1745806655.096343,1745806656.3308506
75.0,20.0,0.11826229095458984,1.1299347877502441,845,1,1745806664.6234636,1745806665.8716621
75.0,20.0,0.11739468574523926,1.1286139488220215,846,1,1745806674.105675,1745806675.3516848
75.0,20.0,0.11849260330200195,1.1237452030181885,853,1,1745806580.5887291,1745806581.8309684
75.0,20.0,0.09508347511291504,1.124572992324829,854,1,1745806590.1170533,1745806591.336711
75.0,20.0,0.12407326698303223,1.1215112209320068,855,1,1745806599.6458492,1745806600.891435
75.0,20.0,0.11635875701904297,1.1253976821899414,856,1,1745806609.1551147,1745806610.3968725
75.0,20.0,0.09865045547485352,1.1256520748138428,857,1,1745806618.5878868,1745806619.812191
75.0,20.0,0.13269925117492676,1.122926950454712,858,1,1745806628.123408,1745806629.3790355
75.0,20.0,0.1229398250579834,1.129817008972168,859,1,1745806637.6384656,1745806638.891224
75.0,20.0,0.12619233131408691,1.1264755725860596,860,1,1745806647.070166,1745806648.3228347
75.0,20.0,0.11357927322387695,1.128359317779541,861,1,1745806656.5999634,1745806657.8419034
75.0,20.0,0.12961530685424805,1.0653510093688965,862,1,1745806666.1278393,1745806667.3228066
75.0,20.0,0.1227414608001709,0.9527988433837891,863,1,1745806675.61083,1745806676.6863716
75.0,20.0,0.12105894088745117,1.124523639678955,870,1,1745806582.0933292,1745806583.3389125
75.0,20.0,0.09669089317321777,1.1240818500518799,871,1,1745806591.6210089,1745806592.8417826
75.0,20.0,0.12347531318664551,1.1244330406188965,872,1,1745806601.1499188,1745806602.397828
75.0,20.0,0.1174614429473877,1.1246440410614014,873,1,1745806610.6601157,1745806611.9022226
75.0,20.0,0.10230875015258789,1.1254656314849854,874,1,1745806620.0930514,1745806621.3208275
75.0,20.0,0.13651156425476074,1.126291036605835,875,1,1745806629.6276262,1745806630.89043
75.0,20.0,0.13152575492858887,1.12945556640625,876,1,1745806639.142441,1745806640.4034238
75.0,20.0,0.12869644165039062,1.1249725818634033,877,1,1745806648.5760767,1745806649.8297472
75.0,20.0,0.12496542930603027,1.127274751663208,878,1,1745806658.1041098,1745806659.3563514
75.0,20.0,0.13106131553649902,1.129136562347412,879,1,1745806667.683365,1745806668.9435642
75.0,20.0,0.1234281063079834,1.12324857711792,887,1,1745806583.5972116,1745806584.8438897
75.0,20.0,0.10226845741271973,1.1262896060943604,888,1,1745806593.1256561,1745806594.3542151
75.0,20.0,0.12633776664733887,1.1260571479797363,889,1,1745806602.6537948,1745806603.9061909
75.0,20.0,0.12025833129882812,1.1276748180389404,890,1,1745806612.0642326,1745806613.3121665
75.0,20.0,0.10912346839904785,1.1287858486175537,891,1,1745806621.5975301,1745806622.8354409
75.0,20.0,0.1409001350402832,1.12327241897583,892,1,1745806631.1316676,1745806632.3958416
75.0,20.0,0.13859152793884277,1.1282336711883545,893,1,1745806640.6482744,1745806641.9151
75.0,20.0,0.13546323776245117,1.126802682876587,894,1,1745806650.0801215,1745806651.3423884
75.0,20.0,0.1320934295654297,1.129044532775879,895,1,1745806659.607648,1745806660.868787
75.0,20.0,0.13779664039611816,1.1274561882019043,896,1,1745806669.0879374,1745806670.3531907
75.0,20.0,0.12432456016540527,1.15238356590271,904,1,1745806585.1014676,1745806586.3781767
75.0,20.0,0.10720682144165039,1.1482791900634766,905,1,1745806594.628932,1745806595.884419
75.0,20.0,0.13246750831604004,1.1479663848876953,906,1,1745806604.1580195,1745806605.4384549
